lsn,eventtime(utc+8),event,detail,file/directory name,full path,creationtime,modifiedtime,mftmodifiedtime,accessedtime,redo,target vcn,cluster index,is_timestomped,is_suspicious_execution
10589175593,,,,FileCoAuth-2023-12-28.1132.1584.1.odl,\Users\blueangel\AppData\Local\Microsoft\OneDrive\logs\Common\FileCoAuth-2023-12-28.1132.1584.1.odl,12/28/23 19:32:25,12/28/23 19:32:32,12/28/23 19:32:32,12/28/23 20:23:04,Update Resident Value,0x31EC,6,0,0
10589175627,,,,FileCoAuth-2023-12-28.0802.5332.1.odl,\Users\blueangel\AppData\Local\Microsoft\OneDrive\logs\Common\FileCoAuth-2023-12-28.0802.5332.1.odl,12/28/23 16:02:25,12/28/23 16:02:32,12/28/23 16:02:32,12/28/23 16:23:00,Update Resident Value,0x31F3,4,0,0
10589175661,,,,FileCoAuth-2023-12-28.0812.8880.1.odl,\Users\blueangel\AppData\Local\Microsoft\OneDrive\logs\Common\FileCoAuth-2023-12-28.0812.8880.1.odl,12/28/23 16:12:25,12/28/23 16:12:32,12/28/23 16:12:32,12/28/23 16:23:00,Update Resident Value,0x31F9,6,0,0
10589175695,,,,FileCoAuth-2023-12-28.1242.9324.1.odl,\Users\blueangel\AppData\Local\Microsoft\OneDrive\logs\Common\FileCoAuth-2023-12-28.1242.9324.1.odl,12/28/23 20:42:25,12/28/23 20:42:32,12/28/23 20:42:32,12/28/23 21:23:05,Update Resident Value,0x31FB,2,0,0
10589175729,,,,FileCoAuth-2023-12-28.1232.7132.1.odl,\Users\blueangel\AppData\Local\Microsoft\OneDrive\logs\Common\FileCoAuth-2023-12-28.1232.7132.1.odl,12/28/23 20:32:25,12/28/23 20:32:32,12/28/23 20:32:32,12/28/23 21:23:05,Update Resident Value,0x31FB,4,0,0
10589175763,,,,FileCoAuth-2023-12-28.1252.8176.1.odl,\Users\blueangel\AppData\Local\Microsoft\OneDrive\logs\Common\FileCoAuth-2023-12-28.1252.8176.1.odl,12/28/23 20:52:25,12/28/23 20:52:32,12/28/23 20:52:32,12/28/23 21:23:05,Update Resident Value,0x31FF,0,0,0
10589175797,,Changing FileAttribute,RandomAccess -> 0x00000000,Apps_{2d9b51fe-58fd-4ffc-bb48-9d8d126df647},\Users\blueangel\AppData\Local\Packages\Microsoft.Windows.Search_cw5n1h2txyewy\LocalState\ConstraintIndex\Apps_{2d9b51fe-58fd-4ffc-bb48-9d8d126df647},12/31/23 0:21:24,12/31/23 0:21:24,12/31/23 0:21:24,12/31/23 0:21:24,Update Resident Value,0x31FF,4,0,0
10589175931,,,,FileCoAuth-2023-12-28.0912.2092.1.odl,\Users\blueangel\AppData\Local\Microsoft\OneDrive\logs\Common\FileCoAuth-2023-12-28.0912.2092.1.odl,12/28/23 17:12:25,12/28/23 17:12:32,12/28/23 17:12:32,12/28/23 17:23:01,Update Resident Value,0x321F,0,0,0
10589175965,,,,FileCoAuth-2023-12-28.0902.11768.1.odl,\Users\blueangel\AppData\Local\Microsoft\OneDrive\logs\Common\FileCoAuth-2023-12-28.0902.11768.1.odl,12/28/23 17:02:25,12/28/23 17:02:32,12/28/23 17:02:32,12/28/23 17:23:01,Update Resident Value,0x3223,4,0,0
10589175999,,,,FileCoAuth-2023-12-28.1342.10888.1.odl,\Users\blueangel\AppData\Local\Microsoft\OneDrive\logs\Common\FileCoAuth-2023-12-28.1342.10888.1.odl,12/28/23 21:42:25,12/28/23 21:42:32,12/28/23 21:42:32,12/28/23 22:23:06,Update Resident Value,0x3231,2,0,0
