filename,full_path,lf_lsn,usn_usn,confidence_pct,usn_event_time,lf_event,lf_detail,usn_event_info,zero_in_nanoseconds,zero_in_nanoseconds_lf,time_reversal_event,basic_info_changed,cross_artifact_validation_score,cross_artifact_detected,has_logfile_evidence,has_usnjrnl_evidence,lf_creation_time,lf_modified_time,lf_accessed_time,lf_mft_modified_time,timestamp_changed_to_past,using_another_timestamp,modified_creationtime,modified_modifiedtime,modified_accessedtime,zero_nano_time_reversal,path_depth,filename_length,is_executable,is_document,is_archive,is_image
30c0a254-2009-4b21-98f7-90d012d6d950.tmp,\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\30c0a254-2009-4b21-98f7-90d012d6d950.tmp,1545169592.0,247199248.0,99.99473756492117,4/6/18 15:07,Time Reversal Event,CreationTime : 2018-04-06 15:07:27 -> 2018-03-27 17:33:15(same as Network Persistent State~RF319a3313.TMP/ Network Persistent State),Basic_Info_Changed / File_Renamed_Old / Access_Right_Changed,False,False,True,True,1.0,True,True,True,,,,,False,False,True,False,False,False,9,40,False,False,False,False
32bb6e81-ad1c-4966-8faf-abe1664beccc.tmp,\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\32bb6e81-ad1c-4966-8faf-abe1664beccc.tmp,1545479019.0,247259248.0,99.99473756492117,4/6/18 15:10,Time Reversal Event,CreationTime : 2018-04-06 15:10:20 -> 2018-03-27 17:32:51(same as Preferences/ Preferences~RF2a180ce2.TMP),Basic_Info_Changed / File_Renamed_Old / Access_Right_Changed,False,False,True,True,1.0,True,True,True,,,,,False,False,True,False,False,False,9,40,False,False,False,False
32e98c4b-93de-49a0-abe9-d464cd223033.tmp,\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\32e98c4b-93de-49a0-abe9-d464cd223033.tmp,1547629462.0,247713584.0,99.99473756492117,4/6/18 15:37,Time Reversal Event,CreationTime : 2018-04-06 15:37:21 -> 2018-03-27 17:33:15(same as Network Persistent State~RF319a3313.TMP/ Network Persistent State),Basic_Info_Changed / File_Renamed_Old / Access_Right_Changed,False,False,True,True,1.0,True,True,True,,,,,False,False,True,False,False,False,9,40,False,False,False,False
34729dce-02f5-4daa-8063-1efda726e320.tmp,\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\34729dce-02f5-4daa-8063-1efda726e320.tmp,1546996052.0,247604608.0,99.99473756492117,4/6/18 15:25,Time Reversal Event,CreationTime : 2018-04-06 15:25:21 -> 2018-03-27 17:33:15(same as Network Persistent State~RF319a3313.TMP/ Network Persistent State),Basic_Info_Changed / File_Renamed_Old / Access_Right_Changed,False,False,True,True,1.0,True,True,True,,,,,False,False,True,False,False,False,9,40,False,False,False,False
35bc8604-37ad-46a2-bda7-32f5f704a698.tmp,\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\35bc8604-37ad-46a2-bda7-32f5f704a698.tmp,1546474517.0,247442560.0,99.99473756492117,4/6/18 15:20,Time Reversal Event,CreationTime : 2018-04-06 15:20:24 -> 2018-03-27 17:32:51(same as Preferences/ Preferences~RF2a180ce2.TMP),Basic_Info_Changed / File_Renamed_Old / Access_Right_Changed,False,False,True,True,1.0,True,True,True,,,,,False,False,True,False,False,False,9,40,False,False,False,False
36ddbb5d-f6bf-4ab8-84e1-9374784f5ba7.tmp,\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\36ddbb5d-f6bf-4ab8-84e1-9374784f5ba7.tmp,1550870247.0,248914064.0,99.99473756492117,4/6/18 20:29,Time Reversal Event,CreationTime : 2018-04-06 20:29:29 -> 2018-03-27 17:33:15(same as Network Persistent State~RF319a3313.TMP/ Network Persistent State),Basic_Info_Changed / File_Renamed_Old / Access_Right_Changed,False,False,True,True,1.0,True,True,True,,,,,False,False,True,False,False,False,9,40,False,False,False,False
38acdbb1-157d-4a31-97b4-4e3d11b260e0.tmp,\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\38acdbb1-157d-4a31-97b4-4e3d11b260e0.tmp,1545875177.0,247342456.0,99.99473756492117,4/6/18 15:14,Time Reversal Event,CreationTime : 2018-04-06 15:14:45 -> 2018-03-27 17:32:51(same as Preferences/ Preferences~RF2a180ce2.TMP),Basic_Info_Changed / File_Renamed_Old / Access_Right_Changed,False,False,True,True,1.0,True,True,True,,,,,False,False,True,False,False,False,9,40,False,False,False,False
39e811f1-6126-437d-8703-c4b0cc5ef741.tmp,\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\39e811f1-6126-437d-8703-c4b0cc5ef741.tmp,1545919291.0,247353168.0,99.99473756492117,4/6/18 15:15,Time Reversal Event,CreationTime : 2018-04-06 15:15:13 -> 2018-03-27 17:32:51(same as Preferences/ Preferences~RF2a180ce2.TMP),Basic_Info_Changed / File_Renamed_Old / Access_Right_Changed,False,False,True,True,1.0,True,True,True,,,,,False,False,True,False,False,False,9,40,False,False,False,False
3dbecb21-ae4a-4bd0-b197-c9a698665e74.tmp,\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\3dbecb21-ae4a-4bd0-b197-c9a698665e74.tmp,1550752809.0,248892600.0,99.99473756492117,4/6/18 20:27,Time Reversal Event,CreationTime : 2018-04-06 20:27:30 -> 2018-03-27 17:33:13(same as TransportSecurity),Basic_Info_Changed / File_Renamed_Old / Access_Right_Changed,False,False,True,True,1.0,True,True,True,,,,,False,False,True,False,False,False,9,40,False,False,False,False
40bea7ba-f6e4-48c7-b59d-2de314ae0855.tmp,\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\40bea7ba-f6e4-48c7-b59d-2de314ae0855.tmp,1561257448.0,249667840.0,99.99473756492117,4/6/18 20:42,Time Reversal Event,CreationTime : 2018-04-06 20:42:24 -> 2018-03-27 17:33:15(same as Network Persistent State),Basic_Info_Changed / File_Renamed_Old / Access_Right_Changed,False,False,True,True,1.0,True,True,True,,,,,False,False,True,False,False,False,9,40,False,False,False,False
